product_name,energy_instrument,raw_material_instrument,freight_instrument
Sodium Lauryl Sulfate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Sodium Percarbonate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Sodium Phosphate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Sodium Sulfate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Sorbitol 70%,NATURAL_GAS_EU,MAIZE,UNMAPPED
Styrene Acrylonitrile,NATURAL_GAS_EU,BRENT,UNMAPPED
Styrene Monomer,NATURAL_GAS_EU,BRENT,UNMAPPED
Sulfuric Acid,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Titanium Carbonate,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Titanium Dioxide,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Toluene,NATURAL_GAS_EU,BRENT,UNMAPPED
Tungsten Trioxide,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Urea,NATURAL_GAS_EU,UNMAPPED,UNMAPPED
Vinyl Acetate Monomer,NATURAL_GAS_EU,BRENT,UNMAPPED
n-Butanol,NATURAL_GAS_EU,BRENT,UNMAPPED
